"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","81","86","6","67.328644","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","60","66","2","40.337318","0","0"
"Globals","0","2715","0","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","36","38","1","24.619257","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","879","904","1","520.729797","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","148","148","1","155.691376","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","20","20","1","6.383745","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","10","10","1","4.601343","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","49","51","1","38.189579","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","10","10","1","7.516752","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","15","15","1","11.943621","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","4","1","2.373171","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","10","10","1","5.995869","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","573","623","1","245.589539","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","27","27","1","22.069931","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","10","10","1","6.325935","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","128","128","1","118.669258","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","6","6","1","9.237900","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","20","20","1","7.972974","0","0"
"/OculusVR/Materials/OculusMR_WhiteMaterial.OculusMR_WhiteMaterial","0","10","10","1","4.859909","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","10","10","1","7.476210","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey_Lit.OculusMR_ChromaKey_Lit","0","31","31","1","104.276848","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","4","4","1","2.083691","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","1.885857","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","12","12","1","6.875508","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","12","12","1","7.214970","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","29","29","1","24.594505","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","9","10","1","5.133421","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","19","20","1","11.301761","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","9","10","1","3.535123","0","0"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","0","24","24","1","33.815331","0","0"
"/Game/StarterContent/Materials/M_Water_Ocean.M_Water_Ocean","0","24","24","1","29.406729","0","0"
"/Game/StarterContent/Materials/M_Water_Lake.M_Water_Lake","0","24","24","1","23.774160","0","0"
"/Game/StarterContent/Materials/M_Tech_Panel.M_Tech_Panel","0","24","24","1","24.179653","0","0"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","0","24","24","1","25.822432","0","0"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","0","24","24","1","30.193899","0","0"
"/Game/StarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","0","24","24","1","31.584862","0","0"
"/Game/StarterContent/Materials/M_Rock_Slate.M_Rock_Slate","0","24","24","1","34.177055","0","0"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","0","24","24","1","30.363102","0","0"
"/Game/StarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","0","24","24","1","26.597820","0","0"
"/Game/StarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","0","24","24","1","26.620682","0","0"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","0","24","24","1","24.825632","0","0"
"/Game/StarterContent/Materials/M_Metal_Rust.M_Metal_Rust","0","24","24","1","24.050257","0","0"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","0","24","24","1","24.903811","0","0"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","0","24","24","1","24.511457","0","0"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","0","24","24","1","23.963499","0","0"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","0","24","24","1","24.248526","0","0"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","0","24","24","1","23.854864","0","0"
"/Game/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","0","24","24","1","25.142321","0","0"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","0","24","24","1","24.092049","0","0"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","0","24","24","1","24.884281","0","0"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","0","26","26","1","18.610775","0","0"
"/Game/StarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","0","24","24","1","24.915956","0","0"
"/Game/StarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","0","24","24","1","24.921955","0","0"
"/Game/StarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","0","24","24","1","25.172073","0","0"
"/Game/StarterContent/Materials/M_Concrete_Grime.M_Concrete_Grime","0","24","24","1","26.346149","0","0"
"/Game/StarterContent/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","0","24","24","1","31.738966","0","0"
"/Game/StarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","0","24","24","1","25.325354","0","0"
"/Game/StarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","0","24","24","1","31.484083","0","0"
